iter	Passed	Remaining
169	413	2020
170	414	2011
171	416	2003
172	417	1997
173	419	1989
174	420	1981
175	421	1973
176	423	1966
177	424	1959
178	425	1951
179	426	1943
180	427	1934
181	428	1927
182	430	1919
183	431	1911
184	432	1905
185	434	1899
186	435	1892
187	436	1884
188	437	1878
189	439	1872
190	440	1866
191	441	1858
192	443	1852
193	444	1846
194	445	1840
195	447	1833
196	448	1827
197	449	1821
198	451	1816
199	452	1809
200	453	1803
201	454	1797
202	456	1791
203	457	1785
204	458	1779
205	460	1774
206	461	1768
207	462	1762
208	464	1756
209	465	1751
210	466	1746
211	468	1739
212	469	1734
213	471	1730
214	472	1725
215	473	1719
216	475	1714
217	476	1708
218	477	1703
219	478	1698
220	480	1692
221	481	1687
222	483	1683
223	484	1677
224	485	1671
225	486	1666
226	488	1662
227	489	1657
228	490	1651
229	491	1647
230	493	1642
231	494	1637
232	495	1632
233	497	1627
234	498	1623
235	499	1618
236	500	1612
237	502	1607
238	503	1603
239	504	1598
240	506	1593
241	507	1588
242	508	1584
243	510	1580
244	511	1575
245	512	1570
246	513	1566
247	515	1563
248	516	1558
249	517	1553
250	519	1549
251	520	1545
252	521	1540
253	523	1536
254	524	1531
255	525	1527
256	527	1523
257	528	1518
258	529	1514
259	531	1512
260	532	1508
261	534	1504
262	535	1500
263	536	1496
264	538	1492
265	539	1488
266	540	1484
267	542	1481
268	543	1477
269	544	1473
270	546	1469
271	547	1466
272	548	1461
273	550	1457
274	551	1453
275	552	1450
276	554	1446
277	555	1442
278	556	1439
279	558	1436
280	559	1432
281	561	1428
282	562	1425
283	564	1422
284	565	1418
285	566	1415
286	568	1411
287	569	1408
288	571	1405
289	572	1401
290	574	1398
291	575	1395
292	576	1391
293	577	1387
294	579	1384
295	580	1381
296	582	1378
297	583	1375
298	585	1372
299	586	1368
300	587	1365
301	589	1361
302	590	1358
303	592	1355
304	593	1352
305	594	1348
306	596	1345
307	597	1341
308	598	1338
309	599	1334
310	601	1331
311	602	1328
312	603	1324
313	604	1321
314	606	1318
315	607	1315
316	609	1312
317	610	1309
318	611	1306
319	613	1303
320	614	1299
321	616	1297
322	617	1295
323	619	1291
324	620	1288
325	621	1285
326	622	1281
327	624	1279
328	625	1275
329	626	1272
330	628	1269
331	629	1266
332	631	1264
333	632	1261
334	633	1258
335	635	1255
336	636	1252
337	638	1250
338	639	1247
339	641	1244
340	642	1241
341	643	1238
342	645	1236
343	646	1233
344	648	1230
345	649	1227
346	650	1224
347	652	1221
348	653	1218
349	654	1215
350	655	1212
351	657	1209
352	658	1206
353	659	1204
354	661	1201
355	662	1198
356	663	1195
357	664	1192
358	666	1189
359	667	1187
360	668	1184
361	670	1181
362	671	1178
363	673	1176
364	674	1173
365	675	1170
366	676	1167
367	678	1164
368	679	1161
369	680	1159
370	682	1156
371	683	1154
372	684	1151
373	686	1148
374	687	1145
375	688	1143
376	690	1140
377	691	1137
378	692	1134
379	694	1132
380	695	1129
381	696	1126
382	697	1124
383	699	1121
384	700	1119
385	701	1116
386	702	1113
387	704	1110
388	705	1108
389	712	1114
390	714	1112
391	716	1110
392	717	1108
393	719	1107
394	722	1106
395	724	1104
396	726	1102
397	728	1101
398	730	1099
399	731	1097
400	733	1095
401	735	1093
402	736	1091
403	738	1089
404	740	1088
405	743	1088
406	745	1086
407	747	1084
408	749	1083
409	751	1080
410	753	1080
411	755	1078
412	758	1077
413	759	1075
414	761	1073
415	763	1071
416	764	1069
417	766	1066
418	767	1064
419	768	1061
420	770	1059
421	771	1056
422	772	1054
423	774	1051
424	775	1049
425	776	1046
426	780	1046
427	782	1045
428	784	1043
429	786	1041
430	787	1039
431	788	1037
432	790	1034
433	791	1032
434	792	1029
435	794	1027
436	795	1025
437	797	1022
438	798	1020
439	799	1018
440	801	1016
441	802	1013
442	804	1010
443	805	1008
444	807	1006
445	808	1004
446	810	1002
447	811	999
448	812	997
449	814	995
450	815	992
451	816	990
452	818	988
453	819	985
454	821	983
455	823	981
